ARB_ID,SET,BRAND,match,afte3,N_8good
985,4,2,1,1,8
985,5,1,1,1,8
985,6,2,0,3,8
985,7,1,1,1,8
985,8,2,0,3,8
993,1,2,0, , 
993,2,1,1, , 
993,3,2,0, , 
993,4,1,0, , 
993,5,1,0, , 
993,6,2,0, , 
993,7,2,1, , 
993,8,1,1, , 
1001,1,1,0,3,8
1001,2,2,1,1,8
1001,3,1,0,3,8
1001,4,2,0,3,8
1001,5,1,1,1,8
1001,6,2,1,1,8
1001,7,2,1,1,8
1001,8,1,0,1,8
1009,1,2,1,1,8
1009,2,2,0,3,8
1009,3,1,1,2,8
1009,4,1,0,2,8
1009,5,2,0,2,8
1009,6,1,1,2,8
1009,7,2,0,2,8
1009,8,1,0,3,8
1017,1,2,0,2,8
1017,2,1,1,1,8
1017,3,2,1,1,8
1017,4,1,0,2,8
1017,5,1,1,1,8
1017,6,2,0,2,8
1017,7,2,0,2,8
1017,8,1,1,1,8
1025,1,2,1,1,8
1025,2,1,0,2,8
1025,3,1,1,1,8
1025,4,2,0,2,8
1025,5,1,0,2,8
1025,6,1,0,2,8
1025,7,2,0,2,8
1025,8,2,1,1,8
1033,1,1,0,3,8
1033,2,1,1,1,8
1033,3,2,0,3,8
1033,4,1,0,3,8
1033,5,2,1,1,8
1033,6,2,1,1,8
1033,7,1,1,1,8
1033,8,2,0,3,8
1041,1,1,1, , 
1041,2,2,1, , 
1041,3,2,0, , 
1041,4,2,0, , 
1041,5,1,1, , 
1041,6,1,0, , 
1041,7,2,0, , 
1041,8,1,1, , 
1049,1,2,0,3,2
1049,2,1,0, , 
1049,3,2,0,2,2
1049,4,2,1, , 
1049,5,1,1, , 
1049,6,2,0, , 
1049,7,1,0, , 
1049,8,1,1, , 
1057,1,1,1,2,8
1057,2,1,0,2,8
1057,3,2,0,2,8
1057,4,2,1,1,8
1057,5,1,0,2,8
1057,6,2,0,2,8
1057,7,1,1,1,8
1057,8,2,0,3,8
1065,1,1,1,1,8
1065,2,1,0,2,8
1065,3,1,1,1,8
1065,4,2,0,2,8
1065,5,1,1,1,8
1065,6,2,0,2,8
1065,7,2,1,1,8
1065,8,2,1,1,8
1073,1,2,0,3,8
1073,2,1,1,1,8
1073,3,1,0,3,8
1073,4,1,0,3,8
1073,5,2,1,1,8
1073,6,2,1,1,8
1073,7,1,0,3,8
1073,8,2,1,1,8
1081,1,1,1,1,8
1081,2,2,1,1,8
1081,3,1,1,2,8
1081,4,1,0,2,8
1081,5,2,0,3,8
1081,6,1,0,2,8
1081,7,2,1,1,8
1081,8,2,0,2,8
1089,1,1,1,1,8
1089,2,2,1,1,8
1089,3,1,0,2,8
1089,4,2,0,3,8
1089,5,2,0,2,8
1089,6,1,0,2,8
1089,7,2,1,1,8
1089,8,1,0,2,8
1097,1,2,0,3,8
1097,2,1,1,2,8
1097,3,1,1,1,8
1097,4,2,1,1,8
1097,5,1,0,3,8
1097,6,2,1,1,8
1097,7,2,0,3,8
1097,8,1,1,2,8
1105,1,1,0,3,8
1105,2,1,0,3,8
1105,3,2,1,1,8
1105,4,1,1,1,8
1105,5,2,0,2,8
1105,6,1,1,1,8
1105,7,2,0,3,8
1105,8,2,1,1,8
1113,1,2,0,3,8
1113,2,2,0,3,8
1113,3,2,0,3,8
1113,4,1,0,3,8
1113,5,1,1,1,8
1113,6,1,1,1,8
1113,7,1,1,1,8
1113,8,2,1,1,8
1121,1,1,0,3,8
1121,2,2,0,3,8
1121,3,2,0,3,8
1121,4,2,0,3,8
1121,5,1,1,1,8
1121,6,1,1,1,8
1121,7,1,0,3,8
1121,8,2,1,1,8
1129,1,1,0,2,8
1129,2,1,0,2,8
1129,3,2,1,1,8
1129,4,2,0,3,8
1129,5,2,0,3,8
1129,6,1,1,1,8
1129,7,2,0,2,8
1129,8,1,1,1,8
1137,1,1,0,2,8
1137,2,1,0,2,8
1137,3,2,1,1,8
1137,4,2,1,1,8
1137,5,2,0,2,8
1137,6,2,0,2,8
1137,7,1,1,1,8
1137,8,1,0,2,8
1145,1,2,1,1,8
1145,2,2,1,1,8
1145,3,1,1,3,8
1145,4,2,0,3,8
1145,5,2,0,3,8
1145,6,1,0,3,8
1145,7,1,1,1,8
1145,8,1,0,3,8
1153,1,1,0,3,8
1153,2,1,1,1,8
1153,3,1,0,3,8
1153,4,2,1,1,8
1153,5,2,1,1,8
